AttributeName,Code,Description
odor,a,almond
odor,l,anise
odor,c,creosote
odor,y,fishy
odor,f,foul
odor,m,musty
odor,n,none
odor,p,pungent
odor,s,spicy
stalk-surface-below-ring,f,fibrous
stalk-surface-below-ring,y,scaly
stalk-surface-below-ring,k,silky
stalk-surface-below-ring,s,smooth
spore-print-color,k,black
spore-print-color,n,brown
spore-print-color,b,buff
spore-print-color,h,chocolate
spore-print-color,r,green
spore-print-color,o,orange
spore-print-color,u,purple
spore-print-color,w,white
spore-print-color,y,yellow
stalk-color-above-ring,n,brown
stalk-color-above-ring,b,buff
stalk-color-above-ring,c,cinnamon
stalk-color-above-ring,g,gray
stalk-color-above-ring,o,orange
stalk-color-above-ring,p,pink
stalk-color-above-ring,e,red
stalk-color-above-ring,w,white
stalk-color-above-ring,y,yellow
habitat,g,grasses
habitat,l,leaves
habitat,m,meadows
habitat,p,paths
habitat,u,urban
habitat,w,waste
habitat,d,woods
cap-color,n,brown
cap-color,b,buff
cap-color,c,cinnamon
cap-color,g,gray
cap-color,r,green
cap-color,p,pink
cap-color,u,purple
cap-color,e,red
cap-color,w,white
cap-color,y,yellow
edible,p,poisonous
edible,u,unknown
edible,e,edible
